note_id,snapshot_id,account_id,snapshot_date,hardship_signal,income_shock_signal,missed_payment_signal,arrangement_break_signal,collections_signal,vulnerability_signal,note_signal_score,parser_confidence,extraction_method
N0000220,A102493_2025-05-31,A102493,2025-05-31,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000221,A100208_2025-02-28,A100208,2025-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000222,A100368_2025-09-30,A100368,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000223,A101610_2025-07-31,A101610,2025-07-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000224,A100242_2025-01-31,A100242,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000225,A101980_2025-02-28,A101980,2025-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000226,A100431_2026-04-30,A100431,2026-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000227,A101807_2025-09-30,A101807,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000228,A100903_2025-03-31,A100903,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000229,A100397_2026-01-31,A100397,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000230,A101499_2025-05-31,A101499,2025-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000231,A101798_2025-06-30,A101798,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000232,A101067_2026-05-31,A101067,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000233,A100232_2025-08-31,A100232,2025-08-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000234,A100977_2025-09-30,A100977,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000235,A101202_2025-05-31,A101202,2025-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000236,A101173_2025-07-31,A101173,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000237,A100565_2025-07-31,A100565,2025-07-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000238,A101121_2025-06-30,A101121,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000239,A102128_2026-02-28,A102128,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000240,A102019_2025-04-30,A102019,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000241,A102306_2026-01-31,A102306,2026-01-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000242,A100292_2025-05-31,A100292,2025-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000243,A101562_2025-03-31,A101562,2025-03-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000244,A100362_2025-08-31,A100362,2025-08-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000245,A100123_2025-01-31,A100123,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000246,A100384_2025-07-31,A100384,2025-07-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000247,A100450_2025-05-31,A100450,2025-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000248,A101624_2025-06-30,A101624,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000249,A100148_2026-02-28,A100148,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000250,A101313_2026-02-28,A101313,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000251,A101447_2025-09-30,A101447,2025-09-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000252,A102067_2025-01-31,A102067,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000253,A100191_2025-02-28,A100191,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000254,A100411_2025-09-30,A100411,2025-09-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000255,A101250_2025-12-31,A101250,2025-12-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000256,A101802_2025-05-31,A101802,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000257,A100359_2025-10-31,A100359,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000258,A102244_2025-11-30,A102244,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000259,A100773_2026-06-30,A100773,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000260,A101333_2026-05-31,A101333,2026-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000261,A100273_2025-12-31,A100273,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000262,A100632_2026-03-31,A100632,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000263,A101133_2026-06-30,A101133,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000264,A100521_2026-02-28,A100521,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000265,A101628_2025-06-30,A101628,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000266,A101444_2025-10-31,A101444,2025-10-31,1,1,0,0,0,0,0.4000,0.86,deterministic_keyword_rules_v1
N0000267,A102046_2026-01-31,A102046,2026-01-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000268,A101352_2025-11-30,A101352,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000269,A100043_2025-01-31,A100043,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000270,A102118_2026-03-31,A102118,2026-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000271,A100042_2025-03-31,A100042,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000272,A100770_2026-03-31,A100770,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000273,A102171_2025-04-30,A102171,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000274,A101406_2026-06-30,A101406,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000275,A100770_2026-02-28,A100770,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000276,A101685_2025-01-31,A101685,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000277,A101628_2025-04-30,A101628,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000278,A102176_2026-06-30,A102176,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000279,A102086_2025-04-30,A102086,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000280,A100254_2025-01-31,A100254,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000281,A100134_2025-10-31,A100134,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000282,A100223_2025-08-31,A100223,2025-08-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000283,A100180_2025-06-30,A100180,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000284,A102029_2025-03-31,A102029,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000285,A101632_2026-05-31,A101632,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000286,A102300_2026-01-31,A102300,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000287,A101729_2025-12-31,A101729,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000288,A101398_2025-06-30,A101398,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000289,A100523_2026-03-31,A100523,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000290,A101949_2026-06-30,A101949,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000291,A102441_2026-03-31,A102441,2026-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000292,A100374_2025-10-31,A100374,2025-10-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000293,A101597_2025-03-31,A101597,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000294,A101480_2026-05-31,A101480,2026-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000295,A100516_2026-02-28,A100516,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000296,A101439_2026-02-28,A101439,2026-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000297,A100400_2025-07-31,A100400,2025-07-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000298,A100663_2026-03-31,A100663,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000299,A100735_2025-08-31,A100735,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000300,A100458_2025-10-31,A100458,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000301,A101304_2025-08-31,A101304,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000302,A102159_2025-04-30,A102159,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000303,A101854_2026-06-30,A101854,2026-06-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000304,A102290_2025-09-30,A102290,2025-09-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000305,A101022_2025-03-31,A101022,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000306,A101977_2025-09-30,A101977,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000307,A101439_2025-11-30,A101439,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000308,A100693_2025-06-30,A100693,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000309,A101476_2026-05-31,A101476,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000310,A100660_2025-11-30,A100660,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000311,A101919_2026-05-31,A101919,2026-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000312,A100777_2025-11-30,A100777,2025-11-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000313,A101029_2025-09-30,A101029,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000314,A102152_2025-06-30,A102152,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000315,A101459_2025-11-30,A101459,2025-11-30,1,1,1,0,0,0,0.6000,0.92,deterministic_keyword_rules_v1
N0000316,A101651_2025-02-28,A101651,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000317,A102380_2025-03-31,A102380,2025-03-31,1,1,1,0,0,0,0.6000,0.92,deterministic_keyword_rules_v1
N0000318,A100781_2025-08-31,A100781,2025-08-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000319,A102094_2026-03-31,A102094,2026-03-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000320,A100722_2025-06-30,A100722,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000321,A100800_2026-04-30,A100800,2026-04-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000322,A100245_2025-12-31,A100245,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000323,A100560_2025-11-30,A100560,2025-11-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000324,A100601_2026-01-31,A100601,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000325,A101069_2025-04-30,A101069,2025-04-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000326,A100768_2025-09-30,A100768,2025-09-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000327,A100462_2026-06-30,A100462,2026-06-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000328,A102077_2025-04-30,A102077,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000329,A100784_2026-05-31,A100784,2026-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000330,A102434_2025-08-31,A102434,2025-08-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000331,A100825_2025-04-30,A100825,2025-04-30,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000332,A101047_2025-05-31,A101047,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000333,A100408_2025-12-31,A100408,2025-12-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000334,A102381_2026-03-31,A102381,2026-03-31,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000335,A102270_2025-10-31,A102270,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000336,A101818_2025-01-31,A101818,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000337,A100145_2025-03-31,A100145,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000338,A101837_2026-02-28,A101837,2026-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000339,A100536_2025-02-28,A100536,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000340,A100024_2025-12-31,A100024,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000341,A102493_2025-02-28,A102493,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000342,A102330_2026-06-30,A102330,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000343,A100816_2026-03-31,A100816,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000344,A100578_2025-03-31,A100578,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000345,A102255_2026-02-28,A102255,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000346,A101430_2025-06-30,A101430,2025-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000347,A101622_2025-11-30,A101622,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000348,A101394_2025-03-31,A101394,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000349,A101916_2026-01-31,A101916,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000350,A101054_2025-01-31,A101054,2025-01-31,1,1,0,1,1,0,0.7500,0.92,deterministic_keyword_rules_v1
N0000351,A101834_2025-07-31,A101834,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000352,A102461_2025-02-28,A102461,2025-02-28,1,1,0,0,0,0,0.4000,0.86,deterministic_keyword_rules_v1
N0000353,A100061_2025-11-30,A100061,2025-11-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000354,A101383_2025-06-30,A101383,2025-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000355,A102448_2026-02-28,A102448,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000356,A101348_2025-06-30,A101348,2025-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000357,A101465_2026-01-31,A101465,2026-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000358,A101056_2026-05-31,A101056,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000359,A102290_2025-10-31,A102290,2025-10-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000360,A101484_2025-06-30,A101484,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000361,A100549_2025-05-31,A100549,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000362,A100726_2025-06-30,A100726,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000363,A102043_2025-08-31,A102043,2025-08-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000364,A100063_2025-03-31,A100063,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000365,A101540_2026-02-28,A101540,2026-02-28,1,1,1,0,0,0,0.6000,0.92,deterministic_keyword_rules_v1
N0000366,A100990_2025-08-31,A100990,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000367,A102042_2025-08-31,A102042,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000368,A100362_2025-12-31,A100362,2025-12-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000369,A101855_2025-08-31,A101855,2025-08-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000370,A101780_2025-05-31,A101780,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000371,A100546_2025-11-30,A100546,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000372,A101624_2025-12-31,A101624,2025-12-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000373,A100552_2026-06-30,A100552,2026-06-30,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000374,A100451_2025-05-31,A100451,2025-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000375,A102234_2026-05-31,A102234,2026-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000376,A100917_2025-03-31,A100917,2025-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000377,A100804_2026-06-30,A100804,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000378,A102228_2025-10-31,A102228,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000379,A101635_2026-03-31,A101635,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000380,A100021_2025-09-30,A100021,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000381,A100812_2025-04-30,A100812,2025-04-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000382,A101812_2025-11-30,A101812,2025-11-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000383,A101402_2026-01-31,A101402,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000384,A101319_2025-03-31,A101319,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000385,A101938_2025-12-31,A101938,2025-12-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000386,A100839_2026-06-30,A100839,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000387,A100727_2025-02-28,A100727,2025-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000388,A100421_2026-01-31,A100421,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000389,A101827_2025-04-30,A101827,2025-04-30,1,1,1,0,0,0,0.6000,0.92,deterministic_keyword_rules_v1
N0000390,A100973_2026-01-31,A100973,2026-01-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000391,A101063_2025-03-31,A101063,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000392,A102151_2026-05-31,A102151,2026-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000393,A101522_2025-02-28,A101522,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000394,A101051_2025-12-31,A101051,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000395,A102376_2026-01-31,A102376,2026-01-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000396,A102034_2025-01-31,A102034,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000397,A101939_2025-06-30,A101939,2025-06-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000398,A100166_2025-10-31,A100166,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000399,A100315_2025-01-31,A100315,2025-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000400,A101977_2025-02-28,A101977,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000401,A100205_2025-05-31,A100205,2025-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000402,A101282_2026-01-31,A101282,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000403,A100209_2025-11-30,A100209,2025-11-30,1,1,1,1,1,0,0.9500,0.92,deterministic_keyword_rules_v1
N0000404,A101531_2026-04-30,A101531,2026-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000405,A102277_2025-02-28,A102277,2025-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000406,A100821_2025-08-31,A100821,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000407,A100832_2025-03-31,A100832,2025-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000408,A100737_2025-01-31,A100737,2025-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000409,A101207_2025-08-31,A101207,2025-08-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000410,A100374_2025-02-28,A100374,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000411,A100232_2025-05-31,A100232,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000412,A100630_2025-11-30,A100630,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000413,A100945_2026-02-28,A100945,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000414,A100609_2025-07-31,A100609,2025-07-31,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000415,A100862_2026-06-30,A100862,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000416,A101146_2025-11-30,A101146,2025-11-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000417,A100930_2025-11-30,A100930,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000418,A100704_2025-12-31,A100704,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000419,A101221_2025-03-31,A101221,2025-03-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000420,A100138_2025-02-28,A100138,2025-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000421,A101445_2025-03-31,A101445,2025-03-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000422,A101967_2025-11-30,A101967,2025-11-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000423,A101107_2025-05-31,A101107,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000424,A101653_2025-07-31,A101653,2025-07-31,1,1,0,0,0,0,0.4000,0.86,deterministic_keyword_rules_v1
N0000425,A102000_2025-08-31,A102000,2025-08-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000426,A102122_2025-04-30,A102122,2025-04-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000427,A102438_2026-06-30,A102438,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000428,A100715_2025-11-30,A100715,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000429,A101687_2026-02-28,A101687,2026-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000430,A100811_2025-08-31,A100811,2025-08-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000431,A102037_2026-06-30,A102037,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000432,A101684_2025-04-30,A101684,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000433,A102032_2025-05-31,A102032,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000434,A101783_2026-01-31,A101783,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000435,A100474_2025-03-31,A100474,2025-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000436,A102017_2025-02-28,A102017,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000437,A101552_2026-02-28,A101552,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000438,A101248_2025-01-31,A101248,2025-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000439,A101682_2025-11-30,A101682,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
